,Fitness,Location,Maxima
0000000000,2.9857567649024483,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0
0000000001,1.0269113184438006,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1)",0
0000000010,0.9381697297294163,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 0)",0
0000000011,1.0019261428458455,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 1)",0
0000000100,1.065641310485738,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",0
0000000101,1.1076646322101762,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 1)",0
0000000110,1.2445159308901217,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 0)",0
0000000111,1.2385390744268616,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 1)",0
0000001000,1.3364782918046576,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 0)",0
0000001001,1.151757327634386,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 1)",0
0000001010,1.16799294427127,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 0)",0
0000001011,1.1923463692265959,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 1)",0
0000001100,1.177667874951171,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 0)",0
0000001101,1.1249551507261155,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 1)",0
0000001110,1.1278637135399763,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 0)",0
0000001111,1.1322265577607673,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 1)",0
0000010000,2.046264269447506,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 0)",0
0000010001,1.0331508335838337,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 1)",0
0000010010,1.0331508335838337,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 0)",0
0000010011,1.0331508335838337,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 1)",0
0000010100,1.0789844468601935,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 0)",0
0000010101,1.1248180601365534,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 1)",0
0000010110,1.1248180601365534,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 0)",0
0000010111,1.1248180601365534,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 1)",0
0000011000,1.3568114309765391,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 0)",0
0000011001,0.8732081009774122,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 1)",0
0000011010,0.8732081009774122,"(0, 0, 0, 0, 0, 1, 1, 0, 1, 0)",0
0000011011,0.8732081009774122,"(0, 0, 0, 0, 0, 1, 1, 0, 1, 1)",0
0000011100,0.8561863947209978,"(0, 0, 0, 0, 0, 1, 1, 1, 0, 0)",0
0000011101,0.8391646884645833,"(0, 0, 0, 0, 0, 1, 1, 1, 0, 1)",0
0000011110,0.8391646884645833,"(0, 0, 0, 0, 0, 1, 1, 1, 1, 0)",0
0000011111,0.8391646884645833,"(0, 0, 0, 0, 0, 1, 1, 1, 1, 1)",0
0000100000,4.363553520957647,"(0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
0000100001,4.435629174357235,"(0, 0, 0, 0, 1, 0, 0, 0, 0, 1)",0
0000100010,4.435629174357235,"(0, 0, 0, 0, 1, 0, 0, 0, 1, 0)",0
0000100011,4.435629174357235,"(0, 0, 0, 0, 1, 0, 0, 0, 1, 1)",0
0000100100,4.435629174357235,"(0, 0, 0, 0, 1, 0, 0, 1, 0, 0)",0
0000100101,4.435629174357235,"(0, 0, 0, 0, 1, 0, 0, 1, 0, 1)",0
0000100110,4.435629174357235,"(0, 0, 0, 0, 1, 0, 0, 1, 1, 0)",0
0000100111,4.435629174357235,"(0, 0, 0, 0, 1, 0, 0, 1, 1, 1)",0
0000101000,4.421832217532486,"(0, 0, 0, 0, 1, 0, 1, 0, 0, 0)",0
0000101001,4.412634246315986,"(0, 0, 0, 0, 1, 0, 1, 0, 0, 1)",0
0000101010,4.412634246315986,"(0, 0, 0, 0, 1, 0, 1, 0, 1, 0)",0
