,Fitness,Location,Maxima
0000000000,0.0,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0
0000000001,0.09237752811107816,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1)",0
0000000010,0.09655835732099506,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 0)",0
0000000011,0.18171560033172665,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 1)",0
0000000100,0.142231193238061,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",0
0000000101,0.13752525382487785,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 1)",0
0000000110,0.220591241517471,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 0)",0
0000000111,0.2940391162938513,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 1)",0
0000001000,0.1566926435618514,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 0)",0
0000001001,0.24001061340142205,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 1)",0
0000001010,0.17636185587165404,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 0)",0
0000001011,0.2952296176464827,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 1)",0
0000001100,0.19076478463710408,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 0)",0
0000001101,0.31189270467496255,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 1)",0
0000001110,0.3451663948096224,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 0)",0
0000001111,0.4597106815536729,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 1)",0
0000010000,0.14435834213353324,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 0)",0
0000010001,0.247258107544107,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 1)",0
0000010010,0.2647535958069537,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 0)",0
0000010011,0.3264230796225383,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 1)",0
0000010100,0.17116295011297433,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 0)",0
0000010101,0.30184579947776236,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 1)",0
0000010110,0.2543948424144356,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 0)",0
0000010111,0.3484766347668799,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 1)",0
0000011000,0.288449468319506,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 0)",0
0000011001,0.29630635652008264,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 1)",0
0000011010,0.29121439957060036,"(0, 0, 0, 0, 0, 1, 1, 0, 1, 0)",0
0000011011,0.39925240950223767,"(0, 0, 0, 0, 0, 1, 1, 0, 1, 1)",0
0000011100,0.23533176252501053,"(0, 0, 0, 0, 0, 1, 1, 1, 0, 0)",0
0000011101,0.3576015936702078,"(0, 0, 0, 0, 0, 1, 1, 1, 0, 1)",0
0000011110,0.42965091539057765,"(0, 0, 0, 0, 0, 1, 1, 1, 1, 0)",0
0000011111,0.43120654529352714,"(0, 0, 0, 0, 0, 1, 1, 1, 1, 1)",0
0000100000,0.07981961003451282,"(0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
0000100001,0.21737461763703703,"(0, 0, 0, 0, 1, 0, 0, 0, 0, 1)",0
0000100010,0.1633117090271512,"(0, 0, 0, 0, 1, 0, 0, 0, 1, 0)",0
0000100011,0.3482990821685739,"(0, 0, 0, 0, 1, 0, 0, 0, 1, 1)",0
0000100100,0.21988796038537983,"(0, 0, 0, 0, 1, 0, 0, 1, 0, 0)",0
0000100101,0.35272987298200176,"(0, 0, 0, 0, 1, 0, 0, 1, 0, 1)",0
0000100110,0.31134943595969466,"(0, 0, 0, 0, 1, 0, 0, 1, 1, 0)",0
0000100111,0.329011907288841,"(0, 0, 0, 0, 1, 0, 0, 1, 1, 1)",0
0000101000,0.18283242285025367,"(0, 0, 0, 0, 1, 0, 1, 0, 0, 0)",0
0000101001,0.20718105833248518,"(0, 0, 0, 0, 1, 0, 1, 0, 0, 1)",0
0000101010,0.26072516433353327,"(0, 0, 0, 0, 1, 0, 1, 0, 1, 0)",0
0000101011,0.3190845530677654,"(0, 0, 0, 0, 1, 0, 1, 0, 1, 1)",0
0000101100,0.3063912078591201,"(0, 0, 0, 0, 1, 0, 1, 1, 0, 0)",0
0000101101,0.33449839934224673,"(0, 0, 0, 0, 1, 0, 1, 1, 0, 1)",0
0000101110,0.4604980854252726,"(0, 0, 0, 0, 1, 0, 1, 1, 1, 0)",0
0000101111,0.4947187317410918,"(0, 0, 0, 0, 1, 0, 1, 1, 1, 1)",0
0000110000,0.2007063521170389,"(0, 0, 0, 0, 1, 1, 0, 0, 0, 0)",0
0000110001,0.2995371367239565,"(0, 0, 0, 0, 1, 1, 0, 0, 0, 1)",0
0000110010,0.28997226696807776,"(0, 0, 0, 0, 1, 1, 0, 0, 1, 0)",0
0000110011,0.4316281384685742,"(0, 0, 0, 0, 1, 1, 0, 0, 1, 1)",0
0000110100,0.27496294450477476,"(0, 0, 0, 0, 1, 1, 0, 1, 0, 0)",0
0000110101,0.46300021709506817,"(0, 0, 0, 0, 1, 1, 0, 1, 0, 1)",0
0000110110,0.3913533672449377,"(0, 0, 0, 0, 1, 1, 0, 1, 1, 0)",0
0000110111,0.5489095288741858,"(0, 0, 0, 0, 1, 1, 0, 1, 1, 1)",0
0000111000,0.3158774099627426,"(0, 0, 0, 0, 1, 1, 1, 0, 0, 0)",0
0000111001,0.3427063297566139,"(0, 0, 0, 0, 1, 1, 1, 0, 0, 1)",0
0000111010,0.36833627765970745,"(0, 0, 0, 0, 1, 1, 1, 0, 1, 0)",0
0000111011,0.4997378840792196,"(0, 0, 0, 0, 1, 1, 1, 0, 1, 1)",0
0000111100,0.46670041350959873,"(0, 0, 0, 0, 1, 1, 1, 1, 0, 0)",0
