_id,finishedAt,gameLobbyId,treatmentId,roundIds,playerIds,batchId,createdAt
nTaq7p7XrHDaybeiG,2020-12-07T20:08:25Z,nTaq7p7XrHDaybeiG,Z93NtKDeNPRgH8umv,"gMLDQwdy5cRon9zMo,aTFoppu2bPjyturtk,xtKy6nGzgMjZkTTL2",dPwvBKYMWGw7TmXz3,WE2rwCdAEhbsJgvrJ,2020-12-07T19:32:15Z
gY3DcPyeceJDnQ47k,2020-12-08T02:11:02Z,gY3DcPyeceJDnQ47k,Z93NtKDeNPRgH8umv,"kQdnyiyQGGqXuDYv3,4iRTCukGeQQpMoqsj,fDznaS4JYFNRoG6wG",TcvjtxqR7TWAgYxZu,WE2rwCdAEhbsJgvrJ,2020-12-08T01:29:45Z
uxcteTph39NtvJDt6,2020-12-08T02:13:37Z,uxcteTph39NtvJDt6,Z93NtKDeNPRgH8umv,"3hXsEBRLRm3pKaCy7,6edzSnvqaNMwH86FA,itfcPwE5Xhfk9ubH2",YadjpDLjw8eH2wfYH,WE2rwCdAEhbsJgvrJ,2020-12-08T01:31:57Z
mtW8HoHY53SC4ootL,2020-12-08T17:45:13Z,mtW8HoHY53SC4ootL,Z93NtKDeNPRgH8umv,"NjkHAp6MsxinEJtah,8JF3acBoNoSCGFGM8,vL3TMBENRXm2wdAJB",QAQnN8ytWRuhd7z4R,WE2rwCdAEhbsJgvrJ,2020-12-08T17:03:26Z
KswfrJa73MW26kLcC,2020-12-08T22:49:24Z,KswfrJa73MW26kLcC,Z93NtKDeNPRgH8umv,"RSNmqAep44obarGk3,B349zAyoFDAogkeTR,Ftbdf2LCDJzkRRjSq",3hx7B6r4Wschas7XS,WE2rwCdAEhbsJgvrJ,2020-12-08T22:40:53Z
sT6XgTLdFtAcpDQ5h,2021-01-07T23:03:18Z,sT6XgTLdFtAcpDQ5h,Z93NtKDeNPRgH8umv,"Ps6wTEWB7xmk3cw62,AmcReMpZLgtXpoAbn,g2uJj5YPun93QxsbL",4MPvNkm8v4xAJju9t,d6euEXfMzuGFvEWEY,2021-01-07T23:01:41Z
55KDGdAipRvDhNYew,2021-01-09T05:27:48Z,55KDGdAipRvDhNYew,Z93NtKDeNPRgH8umv,"8ztdaxZSPRG9SwuXF,5LGXj8n6ZFktLfK2R,zg3jZPs9o67zcLPyj",ZrNQZKfR7a6uJxyoE,d6euEXfMzuGFvEWEY,2021-01-09T05:25:39Z
Fhnyk262CktoS4dsA,2021-01-12T23:28:19Z,Fhnyk262CktoS4dsA,Z93NtKDeNPRgH8umv,"JkEqcAySLeRTkKDhB,CSFHaWs3SRWRhvW4x,h2PSZCprd4ZrmeaK9",deMjsNCw25cSvemyA,d6euEXfMzuGFvEWEY,2021-01-12T22:44:17Z
5diRT8qKYgkXTgqwg,2021-01-14T00:34:57Z,5diRT8qKYgkXTgqwg,Z93NtKDeNPRgH8umv,"iCxRcGD78jnGxmarb,kBcqXCFT5LHjZuKDG,apR8J4zYTpTjbXTGp",NrmKWbfnAkiLqT4MH,d6euEXfMzuGFvEWEY,2021-01-14T00:34:57Z
jpBMYcc9mrCaRLZfW,2021-01-14T00:35:44Z,jpBMYcc9mrCaRLZfW,Z93NtKDeNPRgH8umv,"zgamRDv2CErGv2Yco,cTTW2Hobs2NsMvD7t,sKYkNpGjhHrfsqokj",JhgQ2jRkf6QRmTxKX,ACkB5nrp82SXF7Q5h,2021-01-14T00:35:44Z
