_id,name,value,factorTypeId,createdAt
jgfpe8gCg3rbZ7eA6,default,1,ZKCcx5bCbME8Hdqbv,2020-12-07T19:28:43Z
ECqbQLavHpCCmwtEs,default,0.1,vf8nnHkoQKXpc6uz6,2020-12-07T19:28:43Z
Z46zDTs34ukE3iWhs,NK_hard,NK_hard,criJvARqgkmFFT2YM,2020-12-07T19:29:06Z
MSJn98Ngwqw73jnK7,NK_hard,NK_hard,fY8F4Ah5Cw6Mjqv97,2020-12-07T19:29:09Z
M5mLT9gCwYX4mvnhg,NK_hard,NK_hard,oWPKTTwYYvWroFLea,2020-12-07T19:29:12Z
3jCJPn5wNH5efrNTe,NK_easy,NK_easy,criJvARqgkmFFT2YM,2020-12-07T19:29:18Z
DwzuXzv3Yq7PiZ4Hw,NK_easy,NK_easy,fY8F4Ah5Cw6Mjqv97,2020-12-07T19:29:20Z
pJCyK5xeME8Dh7qAb,NK_easy,NK_easy,oWPKTTwYYvWroFLea,2020-12-07T19:29:23Z
cbj6MfJWtzcXjPeFm,dot_hard,dot_hard,criJvARqgkmFFT2YM,2020-12-07T19:29:28Z
6KeeRRm6R3ciTQdtF,dot_hard,dot_hard,fY8F4Ah5Cw6Mjqv97,2020-12-07T19:29:30Z
nHYyoNSSBY9mkc2ui,dot_hard,dot_hard,oWPKTTwYYvWroFLea,2020-12-07T19:29:33Z
7W5qoqhak7HkQuBSn,dot_easy,dot_easy,criJvARqgkmFFT2YM,2020-12-07T19:29:39Z
eS3TxerWD9FA2Nfve,dot_easy,dot_easy,fY8F4Ah5Cw6Mjqv97,2020-12-07T19:29:41Z
AWgJrNnJXs6kwuJ7q,dot_easy,dot_easy,oWPKTTwYYvWroFLea,2020-12-07T19:29:43Z
HS7o5YGWKKxgRq2Bm,three,3,7xgwjWcLELQzKdBNk,2020-12-07T19:29:51Z
h5uMTLk24DZCMxytJ,twenty,20,qEdFqBDTuN8JHGg4q,2020-12-07T19:29:58Z
pFMX45KqxhNiagbBr,25,25,qEdFqBDTuN8JHGg4q,2021-02-17T19:59:00Z
