_id,playerId,gameId,createdAt,data.task1,data.task2,data.task3,data.feedback
EznCE2B26RCxAYrFn,sp5JSgyETEs9RBT9D,we7zFNjaGub3MsyRn,2021-03-05T21:31:13Z,easy,med,hard,AOEU
fdHoPCkEmFwSnutnA,do3Tw8Ho5XzgkJS3b,e6SDqbaxRpruJDTPH,2021-03-05T21:38:00Z,easy,med,hard,OEUI
xb8Bz6saQi3NPYMXx,eLq5GkYWfcTw2ydfp,BqSJezkCBKa6C9vPc,2021-03-06T01:26:25Z,easy,med,hard,
62EvPv2x2nP5Pb5Mh,erighEhRqBderPLvx,7yuJtSxT89TmBHWph,2021-03-06T01:34:18Z,hard,med,easy,erighEhRqBderPLvx thanks for the free money. There should be a ""trial"" version of the game so surveyors can get a gist of what the game is about.  Reading is a bit boring for visual learners.
RjxZKs9o3hEchsb9y,wWfZjAmbkBjo2NA9H,SfASHCxLwf8rmXRmz,2021-03-06T01:39:30Z,hard,med,easy,I'm curious to know how the scoring actually worked. Were there ideal combinations? Were different pairs / trios / quads etc. differently valued? Very interesting study!
296zaqSD9QkqykrJz,vuXdSyaxJy53z8PJM,CRXMSrAdfZ7QdoWsu,2021-03-06T01:46:26Z,hard,med,easy,The instructions could definitely be more clear.
neQmfZaWsQeknFbgH,KmXhaZ7EtwrhCAd9s,kG6WRBk2LrAxum2Sp,2021-03-06T01:47:35Z,hard,med,easy,
kLkE6ABnNjH2vcHTw,4q2XapiB9xsLJY5Ce,Q4WYd8WmmBfiEpsQb,2021-03-06T01:50:01Z,hard,med,easy,
JqoPhvYWYdAtLrvfy,hv8r4YkrbnNiDkNDF,7bmrhHgm9EY5PWagF,2021-03-06T01:50:16Z,easy,med,hard,that was pretty fun and interesting. Thanks!
iKXmwvavqgShKT7oc,C2EAJ9sBKnmr8rHPX,BeAXCDh9f9ftDzC7S,2021-03-06T01:55:43Z,easy,med,hard,I'm honestly a little confused
xWKeeFEgMYzyZuhvb,C5rrq46sYxb7HudsF,NPxbqDbbfsv2PXSDh,2021-03-06T01:56:31Z,med,hard,easy,"I want more rounds, as I think I just finally got my methodology down when the survey ended"
JanG2BwQMrBhb4suJ,xCBRYodmQaMuA9yQv,ejGA5jCrGP85gFDyR,2021-03-06T01:59:22Z,hard,med,easy,
fpcRtsDo9zZQu77rT,jyhqJnJqmTcyqQeFr,BPgEMaLHYekoyr6Qk,2021-03-06T02:00:56Z,easy,hard,med,
3y568R72phkThGrmK,tjYyFrJzDg2c3FNN2,bXNuncdqcJsgNkWBt,2021-03-06T02:01:55Z,hard,med,easy,This was so weird lol
Ga9D558iqSiKPYCh8,M3xpPK5y3rdQSKjgB,Knkx8udf6tSsBkEjL,2021-03-06T02:07:39Z,med,hard,easy,no
guGiM2wtKTc37LEzG,2dgQsDhmpzFwFL54e,hEzauMsbZEy9MAPX2,2021-03-06T02:08:39Z,easy,med,hard,This was fun!
XuSNiFAqknJ43wggG,C3PTbGebW4MrGPKjy,RNkpbaYBZsfZhMPRp,2021-03-06T02:18:45Z,hard,med,easy,
KdTKXH6NkELcNtPJP,bnZMAt3N2iYBaE3x6,X9kNpdscGrTMFWQAq,2021-03-06T03:36:48Z,hard,med,easy,
fFbFujvhxsivyjusZ,N44pwETmbPaxKCbwe,fbbaxLe8EhxokXaFy,2021-03-06T03:39:56Z,med,hard,easy,No
9j99pAJeHXXqqFBv2,9GqhK2QyhAHDLdcPT,2LSBHTveLg3TW9wCn,2021-03-10T23:25:10Z,hard,med,easy,
pfwftgg8gaTGmGByx,gPkpW5fjwtdogheyn,durKyBuFG26wpAamw,2021-03-10T23:46:09Z,hard,med,easy,no
h4Cyb44EnBpayfBwZ,XuWykN5ksGW5RZJ7A,vcfjXHJCX8hsLKMrn,2021-03-10T23:49:50Z,easy,hard,med,n/a
s9daQY6R9ABqHMRnm,4E2crJ7oosJ9RSHjG,seT4GiibeEayWtYe2,2021-03-10T23:50:18Z,easy,hard,med,I'm not quite sure I understood the goals well. I tried though.
77sMNcinxfFrm47sC,7hSSgdXSzrWs4Ytkc,rFJjronxKC5QkEbu5,2021-03-11T00:04:16Z,med,easy,hard,
