_id,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,retiredAt,retiredReason,createdAt,data.introQuiz,data.avatar,data.score,data.exitQuiz
dPwvBKYMWGw7TmXz3,,2020-12-07T19:32:15Z,,,,2020-12-08T22:40:49Z,gameCancelled,,,2020-12-07T19:32:09Z,"{""goal"":""true"",""selectorColor"":""true"",""bonus"":""true""}",/avatars/jdenticon/dPwvBKYMWGw7TmXz3,0,
TcvjtxqR7TWAgYxZu,,2020-12-08T01:29:46Z,,,,2020-12-08T22:40:49Z,gameCancelled,,,2020-12-08T01:29:40Z,"{""goal"":""true"",""selectorColor"":""true"",""bonus"":""true""}",/avatars/jdenticon/TcvjtxqR7TWAgYxZu,0,
YadjpDLjw8eH2wfYH,,2020-12-08T01:31:57Z,,,,2020-12-08T22:40:49Z,gameCancelled,,,2020-12-08T01:31:50Z,"{""goal"":""true"",""selectorColor"":""true"",""bonus"":""true""}",/avatars/jdenticon/YadjpDLjw8eH2wfYH,0,
QAQnN8ytWRuhd7z4R,,2020-12-08T17:03:26Z,,,,2020-12-08T22:40:49Z,gameCancelled,,,2020-12-08T17:03:18Z,"{""goal"":""true"",""selectorColor"":""true"",""bonus"":""true""}",/avatars/jdenticon/QAQnN8ytWRuhd7z4R,0,
3hx7B6r4Wschas7XS,,2020-12-08T22:40:53Z,,,ExitSurvey,2020-12-08T22:49:24Z,finished,,,2020-12-08T22:40:46Z,"{""goal"":""true"",""selectorColor"":""true"",""bonus"":""true""}",/avatars/jdenticon/3hx7B6r4Wschas7XS,0,"{""task1"":""easy"",""task2"":""hard"",""task3"":""med"",""feedback"":""""}"
4MPvNkm8v4xAJju9t,,2021-01-07T23:01:41Z,,,ExitSurvey,2021-01-14T00:35:07Z,gameCancelled,,,2021-01-07T23:01:26Z,"{""goal"":""true"",""selectorColor"":""true"",""bonus"":""true""}",/avatars/jdenticon/4MPvNkm8v4xAJju9t,0,"{""task1"":""easy"",""task2"":""med"",""task3"":""hard"",""feedback"":""""}"
ZrNQZKfR7a6uJxyoE,,2021-01-09T05:25:39Z,,,ExitSurvey,2021-01-14T00:35:07Z,gameCancelled,,,2021-01-09T05:25:12Z,"{""goal"":""true"",""selectorColor"":""true"",""bonus"":""true""}",/avatars/jdenticon/ZrNQZKfR7a6uJxyoE,0,"{""task1"":""easy"",""task2"":""med"",""task3"":""hard"",""feedback"":""nope""}"
deMjsNCw25cSvemyA,,2021-01-12T22:44:17Z,,,,2021-01-14T00:35:07Z,gameCancelled,,,2021-01-12T22:44:11Z,"{""goal"":""true"",""selectorColor"":""true"",""bonus"":""true""}",/avatars/jdenticon/deMjsNCw25cSvemyA,0,
NrmKWbfnAkiLqT4MH,,2021-01-14T00:34:57Z,,,,2021-01-14T00:35:07Z,gameCancelled,,,2021-01-14T00:34:52Z,"{""goal"":""true"",""selectorColor"":""true"",""bonus"":""true""}",/avatars/jdenticon/NrmKWbfnAkiLqT4MH,0,
JhgQ2jRkf6QRmTxKX,,2021-01-14T00:35:44Z,,,,2021-01-14T00:37:07Z,gameCancelled,,,2021-01-14T00:35:39Z,"{""goal"":""true"",""selectorColor"":""true"",""bonus"":""true""}",/avatars/jdenticon/JhgQ2jRkf6QRmTxKX,0,
