_id,name,value,factorTypeId,createdAt
jgfpe8gCg3rbZ7eA6,default,1,azze8TAema3NeNppi,2021-03-02T23:01:27Z
ECqbQLavHpCCmwtEs,default,0.1,vf8nnHkoQKXpc6uz6,2021-03-02T23:01:27Z
Z46zDTs34ukE3iWhs,NK_hard,NK_hard,criJvARqgkmFFT2YM,2021-03-02T23:01:27Z
MSJn98Ngwqw73jnK7,NK_hard,NK_hard,fY8F4Ah5Cw6Mjqv97,2021-03-02T23:01:27Z
M5mLT9gCwYX4mvnhg,NK_hard,NK_hard,oWPKTTwYYvWroFLea,2021-03-02T23:01:27Z
3jCJPn5wNH5efrNTe,NK_easy,NK_easy,criJvARqgkmFFT2YM,2021-03-02T23:01:27Z
DwzuXzv3Yq7PiZ4Hw,NK_easy,NK_easy,fY8F4Ah5Cw6Mjqv97,2021-03-02T23:01:27Z
pJCyK5xeME8Dh7qAb,NK_easy,NK_easy,oWPKTTwYYvWroFLea,2021-03-02T23:01:27Z
cbj6MfJWtzcXjPeFm,dot_hard,dot_hard,criJvARqgkmFFT2YM,2021-03-02T23:01:27Z
6KeeRRm6R3ciTQdtF,dot_hard,dot_hard,fY8F4Ah5Cw6Mjqv97,2021-03-02T23:01:27Z
nHYyoNSSBY9mkc2ui,dot_hard,dot_hard,oWPKTTwYYvWroFLea,2021-03-02T23:01:27Z
7W5qoqhak7HkQuBSn,dot_easy,dot_easy,criJvARqgkmFFT2YM,2021-03-02T23:01:27Z
eS3TxerWD9FA2Nfve,dot_easy,dot_easy,fY8F4Ah5Cw6Mjqv97,2021-03-02T23:01:27Z
AWgJrNnJXs6kwuJ7q,dot_easy,dot_easy,oWPKTTwYYvWroFLea,2021-03-02T23:01:27Z
HS7o5YGWKKxgRq2Bm,three,3,7xgwjWcLELQzKdBNk,2021-03-02T23:01:27Z
h5uMTLk24DZCMxytJ,twenty,20,qEdFqBDTuN8JHGg4q,2021-03-02T23:01:27Z
pFMX45KqxhNiagbBr,25,25,qEdFqBDTuN8JHGg4q,2021-03-02T23:01:27Z
