_id,index,availableCount,timeoutStartedAt,timedOutAt,queuedPlayerIds,playerIds,gameId,treatmentId,batchId,lobbyConfigId,createdAt
B2YiFzk2vx4S4NH8Y,0,1,,,,,,bSFtXoybLdfbxAvuC,TbTGQDgG3aac3Xs4i,SAxgcmru9QjLxry7Z,2021-03-05T20:26:36Z
T44gPwwxKQqLDvMgj,1,1,,,,,,bSFtXoybLdfbxAvuC,TbTGQDgG3aac3Xs4i,SAxgcmru9QjLxry7Z,2021-03-05T20:26:36Z
iB8FzAXpopmnqhLQy,2,1,,,,,,Sp4ZsQfFWLbNshvoM,TbTGQDgG3aac3Xs4i,SAxgcmru9QjLxry7Z,2021-03-05T20:26:36Z
jipv8B2yXJhC3fD5x,3,1,,,,,,bSFtXoybLdfbxAvuC,TbTGQDgG3aac3Xs4i,SAxgcmru9QjLxry7Z,2021-03-05T20:26:36Z
GYJKe8EEhLgZoLEyT,4,1,,,,,,bSFtXoybLdfbxAvuC,TbTGQDgG3aac3Xs4i,SAxgcmru9QjLxry7Z,2021-03-05T20:26:36Z
EdnuoPMpSsWLtNs5S,5,1,,,,,,Sp4ZsQfFWLbNshvoM,TbTGQDgG3aac3Xs4i,SAxgcmru9QjLxry7Z,2021-03-05T20:26:36Z
8SsDwmpzJMA3e7rfi,6,1,,,,,,bSFtXoybLdfbxAvuC,TbTGQDgG3aac3Xs4i,SAxgcmru9QjLxry7Z,2021-03-05T20:26:36Z
mRDxuheCHhB3KFyug,7,1,,,,,,bSFtXoybLdfbxAvuC,TbTGQDgG3aac3Xs4i,SAxgcmru9QjLxry7Z,2021-03-05T20:26:36Z
PGjr9vManXawdLZYN,8,1,,,,,,bSFtXoybLdfbxAvuC,TbTGQDgG3aac3Xs4i,SAxgcmru9QjLxry7Z,2021-03-05T20:26:36Z
gJsuWnLTBMh5y4eCK,9,1,,,W2CPFYCzN8kmRsiTz,W2CPFYCzN8kmRsiTz,gJsuWnLTBMh5y4eCK,Sp4ZsQfFWLbNshvoM,TbTGQDgG3aac3Xs4i,SAxgcmru9QjLxry7Z,2021-03-05T20:26:36Z
fKFoyeTKZZaB7p2qF,10,1,,,,,,bSFtXoybLdfbxAvuC,TbTGQDgG3aac3Xs4i,SAxgcmru9QjLxry7Z,2021-03-05T20:26:36Z
QL4k3G7HgN5dLGfTP,11,1,,,,,,Sp4ZsQfFWLbNshvoM,TbTGQDgG3aac3Xs4i,SAxgcmru9QjLxry7Z,2021-03-05T20:26:36Z
zheZvh75DduEYRfaT,12,1,,,,,,bSFtXoybLdfbxAvuC,TbTGQDgG3aac3Xs4i,SAxgcmru9QjLxry7Z,2021-03-05T20:26:36Z
3PoTJQwDD97Tkegdd,13,1,,,,,,bSFtXoybLdfbxAvuC,TbTGQDgG3aac3Xs4i,SAxgcmru9QjLxry7Z,2021-03-05T20:26:36Z
e2qhq3vcTzLYRSfr9,14,1,,,,,,bSFtXoybLdfbxAvuC,TbTGQDgG3aac3Xs4i,SAxgcmru9QjLxry7Z,2021-03-05T20:26:36Z
7BcrZ4MgHpBZB7sg2,15,1,,,,,,bSFtXoybLdfbxAvuC,TbTGQDgG3aac3Xs4i,SAxgcmru9QjLxry7Z,2021-03-05T20:26:36Z
JeP44N8kxBvyuxMmo,16,1,,,,,,bSFtXoybLdfbxAvuC,TbTGQDgG3aac3Xs4i,SAxgcmru9QjLxry7Z,2021-03-05T20:26:36Z
8Zyc8dgbngQBbYkKY,17,1,,,,,,Sp4ZsQfFWLbNshvoM,TbTGQDgG3aac3Xs4i,SAxgcmru9QjLxry7Z,2021-03-05T20:26:36Z
