_id,id,urlParams,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,retiredAt,retiredReason,createdAt,lastLogin,data.introQuiz,data.avatar,data.score,data.exitQuiz
W2CPFYCzN8kmRsiTz,aeudi123.,{},,2021-03-05T20:29:22Z,,,,2021-03-05T20:31:02Z,gameCancelled,,,2021-03-05T20:29:16Z,{""at"":""2021-03-05T20:29:16.235Z""},"{""goal"":""true"",""selectorColor"":""true"",""bonus"":""true""}",/avatars/jdenticon/W2CPFYCzN8kmRsiTz,0,
B9FPAorWpaNf98f58,oidu1234,{},,2021-03-05T20:31:43Z,,,,2021-03-05T20:32:23Z,gameCancelled,,,2021-03-05T20:31:38Z,{""at"":""2021-03-05T20:31:38.310Z""},"{""goal"":""true"",""selectorColor"":""true"",""bonus"":""true""}",/avatars/jdenticon/B9FPAorWpaNf98f58,0,
wJiekNgiyNY8cn9oZ,aoeuoui,{},,2021-03-05T20:32:47Z,,,,2021-03-05T20:32:47Z,failed,,,2021-03-05T20:32:41Z,{""at"":""2021-03-05T20:32:41.489Z""},"{""goal"":""true"",""selectorColor"":""true"",""bonus"":""true""}",/avatars/jdenticon/wJiekNgiyNY8cn9oZ,0,
sp5JSgyETEs9RBT9D,aue1234,{},,2021-03-05T21:29:40Z,,,ExitSurvey,2021-03-05T21:32:33Z,gameCancelled,,,2021-03-05T21:29:33Z,{""at"":""2021-03-05T21:29:33.363Z""},"{""goal"":""true"",""selectorColor"":""true"",""bonus"":""true""}",/avatars/jdenticon/sp5JSgyETEs9RBT9D,0,"{""task1"":""easy"",""task2"":""med"",""task3"":""hard"",""feedback"":""AOEU""}"
do3Tw8Ho5XzgkJS3b,OAEUI1344,{},,2021-03-05T21:33:26Z,,,ExitSurvey,2021-03-05T21:39:36Z,gameCancelled,,,2021-03-05T21:33:20Z,{""at"":""2021-03-05T21:33:20.487Z""},"{""goal"":""true"",""selectorColor"":""true"",""bonus"":""true""}",/avatars/jdenticon/do3Tw8Ho5XzgkJS3b,0,"{""task1"":""easy"",""task2"":""med"",""task3"":""hard"",""feedback"":""OEUI""}"
EBSrzyaofnXoszzob,Adrian_Testing,{},,2021-03-05T22:48:49Z,,,,2021-03-05T22:48:53Z,gameCancelled,,,2021-03-05T22:48:42Z,{""at"":""2021-03-23T21:38:54.097Z""},"{""goal"":""true"",""selectorColor"":""true"",""bonus"":""true""}",/avatars/jdenticon/EBSrzyaofnXoszzob,0,
eLq5GkYWfcTw2ydfp,5fc2c8276bcebe503858d619,"{""PROLIFIC_PID"":""5fc2c8276bcebe503858d619"",""STUDY_ID"":""6042c22d0f49d12201b567d5"",""SESSION_ID"":""6042d7ed032276250c666d86""}",,2021-03-06T01:17:41Z,,,ExitSurvey,2021-03-06T01:25:38Z,finished,,,2021-03-06T01:16:51Z,{""at"":""2021-03-06T01:16:52.133Z""},"{""goal"":""true"",""selectorColor"":""true"",""bonus"":""true""}",/avatars/jdenticon/eLq5GkYWfcTw2ydfp,0,"{""task1"":""easy"",""task2"":""med"",""task3"":""hard"",""feedback"":""""}"
MMDJdMqvPpNGYMM4R,5dd30784eb397331f4bb0fef,"{""PROLIFIC_PID"":""5dd30784eb397331f4bb0fef"",""STUDY_ID"":""6042c22d0f49d12201b567d5"",""SESSION_ID"":""6042d7ff032276249387583d""}",,2021-03-06T01:18:36Z,,,,2021-03-06T01:57:01Z,finished,,,2021-03-06T01:18:06Z,{""at"":""2021-03-06T01:18:07.004Z""},"{""goal"":""true"",""selectorColor"":""true"",""bonus"":""true""}",/avatars/jdenticon/MMDJdMqvPpNGYMM4R,0,
erighEhRqBderPLvx,5ff56789238d4b8774c2dd5e,"{""PROLIFIC_PID"":""5ff56789238d4b8774c2dd5e"",""STUDY_ID"":""6042c22d0f49d12201b567d5"",""SESSION_ID"":""6042d91933b9a52544415593""}",,2021-03-06T01:23:57Z,,,ExitSurvey,2021-03-06T01:32:34Z,finished,,,2021-03-06T01:21:55Z,{""at"":""2021-03-06T01:21:55.670Z""},"{""goal"":""true"",""selectorColor"":""true"",""bonus"":""true""}",/avatars/jdenticon/erighEhRqBderPLvx,0,"{""task1"":""hard"",""task2"":""med"",""task3"":""easy"",""feedback"":""erighEhRqBderPLvx thanks for the free money. There should be a \""trial\"" version of the game so surveyors can get a gist of what the game is about.  Reading is a bit boring for visual learners.""}"
wWfZjAmbkBjo2NA9H,5a6fa72d9cdd180001775149,"{""PROLIFIC_PID"":""5a6fa72d9cdd180001775149"",""STUDY_ID"":""6042c22d0f49d12201b567d5"",""SESSION_ID"":""6042d91dd5a3b0251b66cb71""}",,2021-03-06T01:25:15Z,,,ExitSurvey,2021-03-06T01:37:03Z,finished,,,2021-03-06T01:24:13Z,{""at"":""2021-03-07T17:59:58.100Z""},"{""goal"":""true"",""selectorColor"":""true"",""bonus"":""true""}",/avatars/jdenticon/wWfZjAmbkBjo2NA9H,0,"{""task1"":""hard"",""task2"":""med"",""task3"":""easy"",""feedback"":""I'm curious to know how the scoring actually worked. Were there ideal combinations? Were different pairs / trios / quads etc. differently valued? Very interesting study!""}"
hjKd8xZq9NoRhmbcB,5fe0c96ef4e233a6f5cb3b30,"{""PROLIFIC_PID"":""5fe0c96ef4e233a6f5cb3b30"",""STUDY_ID"":""6042c22d0f49d12201b567d5"",""SESSION_ID"":""6042da2d37e3ce2591f5a00f""}",,2021-03-06T01:27:17Z,,,,2021-03-06T02:20:24Z,finished,,,2021-03-06T01:26:18Z,{""at"":""2021-03-06T01:26:18.446Z""},"{""goal"":""true"",""selectorColor"":""true"",""bonus"":""true""}",/avatars/jdenticon/hjKd8xZq9NoRhmbcB,0,
