_id,name,factorIds,createdAt,archivedAt
Mi8NozneyYJbZE2DR,bc_test,"jgfpe8gCg3rbZ7eA6,h5uMTLk24DZCMxytJ,HS7o5YGWKKxgRq2Bm,ECqbQLavHpCCmwtEs,7W5qoqhak7HkQuBSn,AWgJrNnJXs6kwuJ7q",2021-03-02T23:01:27Z,2020-12-07T19:31:16Z
4qX6L5EZPSMN22LfN,bc_test1,"jgfpe8gCg3rbZ7eA6,h5uMTLk24DZCMxytJ,HS7o5YGWKKxgRq2Bm,ECqbQLavHpCCmwtEs,7W5qoqhak7HkQuBSn,eS3TxerWD9FA2Nfve,AWgJrNnJXs6kwuJ7q",2021-03-02T23:01:27Z,2021-02-24T22:02:13Z
h5nhRMbsJNnvLDS3h,Jon test,"jgfpe8gCg3rbZ7eA6,h5uMTLk24DZCMxytJ,HS7o5YGWKKxgRq2Bm,3jCJPn5wNH5efrNTe,MSJn98Ngwqw73jnK7,nHYyoNSSBY9mkc2ui,ECqbQLavHpCCmwtEs",2021-03-02T23:01:27Z,2021-02-24T22:02:14Z
oDBn5gN7bdtLcXqy6,newnew,"jgfpe8gCg3rbZ7eA6,h5uMTLk24DZCMxytJ,HS7o5YGWKKxgRq2Bm,ECqbQLavHpCCmwtEs,Z46zDTs34ukE3iWhs,eS3TxerWD9FA2Nfve,AWgJrNnJXs6kwuJ7q",2021-03-02T23:01:27Z,2021-02-24T22:02:16Z
6wQXSzjNMn8muyXwJ,Prolific_pilot,"jgfpe8gCg3rbZ7eA6,pFMX45KqxhNiagbBr,HS7o5YGWKKxgRq2Bm,3jCJPn5wNH5efrNTe,eS3TxerWD9FA2Nfve,nHYyoNSSBY9mkc2ui,ECqbQLavHpCCmwtEs",2021-03-02T23:01:27Z,2021-03-02T22:24:42Z
c2gGZvQwwrtywNPRh,Prolific_pilot #2,"jgfpe8gCg3rbZ7eA6,pFMX45KqxhNiagbBr,HS7o5YGWKKxgRq2Bm,ECqbQLavHpCCmwtEs,Z46zDTs34ukE3iWhs,eS3TxerWD9FA2Nfve,nHYyoNSSBY9mkc2ui",2021-03-02T23:01:27Z,2021-03-02T22:24:43Z
Sp4ZsQfFWLbNshvoM,DE/NKH/NKE,"jgfpe8gCg3rbZ7eA6,pFMX45KqxhNiagbBr,HS7o5YGWKKxgRq2Bm,ECqbQLavHpCCmwtEs,7W5qoqhak7HkQuBSn,MSJn98Ngwqw73jnK7,pJCyK5xeME8Dh7qAb",2021-03-02T23:01:58Z,
bSFtXoybLdfbxAvuC,NKE/NKH/DE,"jgfpe8gCg3rbZ7eA6,pFMX45KqxhNiagbBr,HS7o5YGWKKxgRq2Bm,ECqbQLavHpCCmwtEs,3jCJPn5wNH5efrNTe,MSJn98Ngwqw73jnK7,AWgJrNnJXs6kwuJ7q",2021-03-02T23:02:17Z,
z9AYNQwr6XhtN6TiQ,NK_easy,"jgfpe8gCg3rbZ7eA6,pFMX45KqxhNiagbBr,HS7o5YGWKKxgRq2Bm,ECqbQLavHpCCmwtEs,3jCJPn5wNH5efrNTe,pJCyK5xeME8Dh7qAb,DwzuXzv3Yq7PiZ4Hw",2021-03-05T04:11:05Z,2021-03-05T20:23:53Z
ryjdEWfZGn33KCvLo,NK_hard,"jgfpe8gCg3rbZ7eA6,pFMX45KqxhNiagbBr,HS7o5YGWKKxgRq2Bm,ECqbQLavHpCCmwtEs,Z46zDTs34ukE3iWhs,MSJn98Ngwqw73jnK7,M5mLT9gCwYX4mvnhg",2021-03-05T04:14:32Z,2021-03-05T20:23:53Z
