,Fitness,Location,Maxima
0000000000,0.0,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0
0000000001,0.03548323446045601,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1)",0
0000000010,0.07494415548121934,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 0)",0
0000000011,0.35029661859263517,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 1)",0
0000000100,0.06799725688616791,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",0
0000000101,0.23692761451322422,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 1)",0
0000000110,0.24304121895276354,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 0)",0
0000000111,0.30096699833291685,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 1)",0
0000001000,0.17839826138563752,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 0)",0
0000001001,0.17983941664939018,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 1)",0
0000001010,0.14108517892035116,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 0)",0
0000001011,0.17340639912780842,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 1)",0
0000001100,0.10249768994185873,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 0)",0
0000001101,0.2920101408633756,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 1)",0
0000001110,0.326287553800745,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 0)",0
0000001111,0.4829096167660535,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 1)",0
0000010000,0.07167152304309733,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 0)",0
0000010001,0.13963392071234912,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 1)",0
0000010010,0.2574217514404884,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 0)",0
0000010011,0.2783248898478237,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 1)",0
0000010100,0.21640426264711068,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 0)",0
0000010101,0.13547504962835066,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 1)",0
0000010110,0.325674930965566,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 0)",0
0000010111,0.3012908473787489,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 1)",0
0000011000,0.39574014773072563,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 0)",0
