,Fitness,Location,Maxima
0000000000,0.621721493688755,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0
0000000001,0.4954688957061192,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1)",0
0000000010,0.5917310838695654,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 0)",0
0000000011,0.5859977521441333,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 1)",0
0000000100,0.6738372087336814,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",0
0000000101,0.6092910968986878,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 1)",0
0000000110,0.5869024013878681,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 0)",0
0000000111,0.5666056663945638,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 1)",0
0000001000,0.6795513863287068,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 0)",0
0000001001,0.553298788346071,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 1)",0
0000001010,0.6036712989024997,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 0)",0
0000001011,0.5979379671770677,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 1)",0
0000001100,0.6344660576475849,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 0)",0
0000001101,0.5699199458125915,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 1)",0
0000001110,0.5439580628527096,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 0)",0
0000001111,0.5236613278594052,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 1)",0
0000010000,0.6402633052786231,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 0)",0
0000010001,0.5140107072959872,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 1)",0
0000010010,0.6102728954594333,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 0)",0
0000010011,0.6045395637340014,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 1)",0
0000010100,0.6246999820069423,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 0)",0
0000010101,0.5601538701719488,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 1)",0
0000010110,0.537765174661129,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 0)",0
0000010111,0.5174684396678246,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 1)",0
0000011000,0.6769106857493347,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 0)",0
0000011001,0.5506580877666989,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 1)",0
0000011010,0.6010305983231277,"(0, 0, 0, 0, 0, 1, 1, 0, 1, 0)",0
0000011011,0.5952972665976957,"(0, 0, 0, 0, 0, 1, 1, 0, 1, 1)",0
0000011100,0.6642664767029196,"(0, 0, 0, 0, 0, 1, 1, 1, 0, 0)",0
0000011101,0.599720364867926,"(0, 0, 0, 0, 0, 1, 1, 1, 0, 1)",0
0000011110,0.5737584819080441,"(0, 0, 0, 0, 0, 1, 1, 1, 1, 0)",0
0000011111,0.5534617469147398,"(0, 0, 0, 0, 0, 1, 1, 1, 1, 1)",0
0000100000,0.48814840261617193,"(0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
0000100001,0.3618958046335361,"(0, 0, 0, 0, 1, 0, 0, 0, 0, 1)",0
0000100010,0.4581579927969823,"(0, 0, 0, 0, 1, 0, 0, 0, 1, 0)",0
0000100011,0.45242466107155027,"(0, 0, 0, 0, 1, 0, 0, 0, 1, 1)",0
0000100100,0.5402641176610983,"(0, 0, 0, 0, 1, 0, 0, 1, 0, 0)",0
0000100101,0.47571800582610485,"(0, 0, 0, 0, 1, 0, 0, 1, 0, 1)",0
0000100110,0.45332931031528495,"(0, 0, 0, 0, 1, 0, 0, 1, 1, 0)",0
0000100111,0.4330325753219806,"(0, 0, 0, 0, 1, 0, 0, 1, 1, 1)",0
0000101000,0.6003846768332618,"(0, 0, 0, 0, 1, 0, 1, 0, 0, 0)",0
0000101001,0.47413207885062614,"(0, 0, 0, 0, 1, 0, 1, 0, 0, 1)",0
0000101010,0.5245045894070548,"(0, 0, 0, 0, 1, 0, 1, 0, 1, 0)",0
0000101011,0.5187712576816229,"(0, 0, 0, 0, 1, 0, 1, 0, 1, 1)",0
0000101100,0.55529934815214,"(0, 0, 0, 0, 1, 0, 1, 1, 0, 0)",0
0000101101,0.4907532363171466,"(0, 0, 0, 0, 1, 0, 1, 1, 0, 1)",0
0000101110,0.4647913533572646,"(0, 0, 0, 0, 1, 0, 1, 1, 1, 0)",0
0000101111,0.4444946183639603,"(0, 0, 0, 0, 1, 0, 1, 1, 1, 1)",0
0000110000,0.5343245682651835,"(0, 0, 0, 0, 1, 1, 0, 0, 0, 0)",0
0000110001,0.4080719702825477,"(0, 0, 0, 0, 1, 1, 0, 0, 0, 1)",0
0000110010,0.5043341584459938,"(0, 0, 0, 0, 1, 1, 0, 0, 1, 0)",0
0000110011,0.49860082672056183,"(0, 0, 0, 0, 1, 1, 0, 0, 1, 1)",0
0000110100,0.5187612449935027,"(0, 0, 0, 0, 1, 1, 0, 1, 0, 0)",0
