,Fitness,Location,Maxima
0000000000,3.095266014839627,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0
0000000001,1.2030449995101455,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1)",0
0000000010,1.1220728681516967,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 0)",0
0000000011,1.1268272070316552,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 1)",0
0000000100,1.0657597765064624,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",0
0000000101,0.8751216360393581,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 1)",0
0000000110,0.9586688911696458,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 0)",0
0000000111,0.7965241240229576,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 1)",0
0000001000,1.2949560325480827,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 0)",0
0000001001,0.973141548518439,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 1)",0
0000001010,1.0602145368711116,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 0)",0
0000001011,1.1908240194001205,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 1)",0
0000001100,1.184260913069846,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 0)",0
0000001101,1.1930639596581547,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 1)",0
0000001110,1.1737277452299681,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 0)",0
0000001111,1.1447234235876882,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 1)",0
0000010000,1.9646114361534546,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 0)",0
0000010001,0.9682576326836255,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 1)",0
0000010010,0.9682576326836255,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 0)",0
0000010011,0.9682576326836255,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 1)",0
0000010100,1.090921684280041,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 0)",0
0000010101,1.2135857358764568,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 1)",0
0000010110,1.2135857358764568,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 0)",0
0000010111,1.2135857358764568,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 1)",0
0000011000,1.3747303548583554,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 0)",0
0000011001,0.8673776902361253,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 1)",0
0000011010,0.8673776902361253,"(0, 0, 0, 0, 0, 1, 1, 0, 1, 0)",0
0000011011,0.8673776902361253,"(0, 0, 0, 0, 0, 1, 1, 0, 1, 1)",0
0000011100,0.7241490247864941,"(0, 0, 0, 0, 0, 1, 1, 1, 0, 0)",0
0000011101,0.5809203593368627,"(0, 0, 0, 0, 0, 1, 1, 1, 0, 1)",0
0000011110,0.5809203593368627,"(0, 0, 0, 0, 0, 1, 1, 1, 1, 0)",0
0000011111,0.5809203593368627,"(0, 0, 0, 0, 0, 1, 1, 1, 1, 1)",0
0000100000,4.019738508814353,"(0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
0000100001,4.016341300398456,"(0, 0, 0, 0, 1, 0, 0, 0, 0, 1)",0
0000100010,4.016341300398456,"(0, 0, 0, 0, 1, 0, 0, 0, 1, 0)",0
0000100011,4.016341300398456,"(0, 0, 0, 0, 1, 0, 0, 0, 1, 1)",0
0000100100,4.016341300398456,"(0, 0, 0, 0, 1, 0, 0, 1, 0, 0)",0
0000100101,4.016341300398456,"(0, 0, 0, 0, 1, 0, 0, 1, 0, 1)",0
0000100110,4.016341300398456,"(0, 0, 0, 0, 1, 0, 0, 1, 1, 0)",0
0000100111,4.016341300398456,"(0, 0, 0, 0, 1, 0, 0, 1, 1, 1)",0
0000101000,4.41109917569679,"(0, 0, 0, 0, 1, 0, 1, 0, 0, 0)",0
0000101001,4.674271092562346,"(0, 0, 0, 0, 1, 0, 1, 0, 0, 1)",0
0000101010,4.674271092562346,"(0, 0, 0, 0, 1, 0, 1, 0, 1, 0)",0
0000101011,4.674271092562346,"(0, 0, 0, 0, 1, 0, 1, 0, 1, 1)",0
0000101100,4.674271092562346,"(0, 0, 0, 0, 1, 0, 1, 1, 0, 0)",0
0000101101,4.674271092562346,"(0, 0, 0, 0, 1, 0, 1, 1, 0, 1)",0
0000101110,4.674271092562346,"(0, 0, 0, 0, 1, 0, 1, 1, 1, 0)",0
0000101111,4.674271092562346,"(0, 0, 0, 0, 1, 0, 1, 1, 1, 1)",0
0000110000,4.457747090745963,"(0, 0, 0, 0, 1, 1, 0, 0, 0, 0)",0
0000110001,3.9451909162568075,"(0, 0, 0, 0, 1, 1, 0, 0, 0, 1)",0
